,Sources,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Total,Type
0,Geothermal,0.073,0.0,0.0,93.7,0.0,0.0,0.0,0.0,0.0,133.199,231.0,0.0,16.0,0.0,6026.112,0.0,0.0,0.0,0.0,0.0,0.0,217.172,0.0,0.0,0.0,0.0,0.0,6717.256,Renewable
1,Renewable waste,327.703,916.4,1.505,0.0,0.0,119.378,944.837,74.569,513.21,2137.688,5828.0,0.0,167.0,326.139,2329.711,0.0,71.3,43.421,0.0,2193.076,181.794,320.113,0.0,43.0,0.0,703.0,1646.0,18887.84,Renewable
2,Non-renewable waste,1480.008,2456.0,7.752,0.0,0.0,187.724,1546.098,149.138,899.464,4632.894,13154.0,80.64,482.0,597.784,4804.618,0.0,269.8,142.898,0.0,3736.352,992.42,524.698,0.006,88.0,21.816,2096.0,3088.0,41438.115,Non-renewable
3,Oil,725.965,119.9,320.855,34.3,4252.546,89.491,262.941,2246.806,201.0,5608.904,4887.0,4727.582,45.0,393.358,10043.26,0.106,123.3,0.01,59.682,1340.134,1749.987,1204.071,600.396,408.0,10.517,10704.0,141.0,50300.11,Non-renewable
4,Solar,2042.934,5105.4,1480.856,95.5,295.608,2287.014,1180.532,122.54,218.471,13398.392,48641.0,4446.854,2459.0,63.78,24941.504,4.847,128.8,161.261,236.837,8765.172,1957.916,1715.59,1733.375,663.0,368.196,20667.0,1051.0,144232.4,Renewable
5,Coal,559.315,81.5,13510.66,1215.4,0.0,31005.35,3061.706,0.0,2443.0,3086.356,133588.0,6605.0,3711.0,669.19,13379.486,0.0,0.0,0.0,0.0,7605.423,107397.738,2363.091,9359.947,1866.0,4363.025,5522.0,1.0,351394.2,Non-renewable
6,Hydro,45353.965,1314.6,3320.258,5810.4,0.0,3436.963,17.064,30.0,15883.341,67014.181,24876.0,3440.303,244.0,1224.217,49495.255,2603.042,1080.1,1094.074,0.0,46.066,2936.988,13632.554,15701.386,4895.0,5224.743,34025.0,72440.0,375139.5,Renewable
7,Wind,6791.53,12763.6,1477.131,1720.7,240.408,699.083,16330.214,844.0,7938.15,39791.901,132102.0,9310.104,655.0,11549.42,18761.557,176.842,1551.7,351.135,0.058,15339.13,15800.049,12298.663,6945.462,4.0,6.251,56444.0,27526.0,397418.1,Renewable
8,Gas,11751.451,28568.2,2292.316,3437.0,0.0,8529.092,1184.095,774.392,4605.0,37173.706,104947.0,19228.167,9206.0,16235.627,135346.267,2075.163,1698.0,184.045,1840.58,75142.433,19259.89,17599.163,9581.392,3906.0,580.248,70366.0,672.0,586183.2,Non-renewable
9,Nuclear,0.0,34434.7,16625.765,0.0,0.0,30043.28,0.0,0.0,23291.0,353832.867,64382.0,0.0,16055.0,0.0,0.0,0.0,0.0,0.0,0.0,4087.363,0.0,0.0,11466.404,15444.0,6352.766,58299.0,49198.0,683512.1,Non-renewable
10,Biofuels,63042.817,28817.0,9675.422,9676.9,657.28,16733.268,28430.693,4637.085,48789.456,135890.175,301738.0,18104.369,7517.0,15304.649,136162.279,4514.375,3877.5,2306.903,248.681,39652.34,37213.679,35115.362,25473.297,8865.0,6147.278,122709.0,121808.0,1233108.0,Renewable
